NOMENCLATURE;AGPR;CONSO
095;2;203
0951;2;105
09511;2;105
0952;2;27
09521;2;27
0953;2;9
09531;2;9
0954;2;61
09541;2;61
096;2;292
0961;2;292
09611;2;292
097;2;264
0971;2;264
0971Z;2;264
10;2;76
101;2;76
1011;2;20
10111;2;20
1012;2;3
10121;2;3
1013;2;44
10131;2;44
1014;2;8
10141;2;8
1015;2;2
1015Z;2;2
11;2;2441
111;2;2140
1111;2;1547
11111;2;850
11112;2;697
1112;2;320
11121;2;320
1113;2;273
1113Z;2;273
112;2;301
1121;2;301
11211;2;301
12;2;4835
121;2;768
1211;2;301
12111;2;301
1212;2;468
1212Z;2;468
123;2;217
1231;2;68
12311;2;68
1232;2;91
1232Z;2;91
1233;2;58
12331;2;58
124;2;903
1241;2;903
12411;2;903
125;2;1791
1251;2;20
12511;2;20
1252;2;287
12521;2;287
1253;2;648
12531;2;648
1254;2;721
12541;2;721
1255;2;114
12551;2;114
126;2;143
1261;2;143
12611;2;143
127;2;977
1271;2;977
1271Z;2;977
128;2;33
1281;2;33
12811;2;33
129;2;2
1291;2;2
12911;2;2
13;2;8389
131;2;2341
1314;2;1556
13141;2;1556
1315;2;30
13151;2;30
1316;2;63
13161;2;63
131A;2;692
131AZ;2;692
132;2;3478
132Z;2;3478
132ZZ;2;3478
133;2;372
1331;2;372
13311;2;372
134;2;1096
134Z;2;1096
134ZZ;2;1096
135;2;1102
1351;2;1102
13511;2;1102
CTOTALE;2;29151
01;3;4804
011;3;4182
0111;3;936
01111;3;34
01112;3;557
01113;3;78
01114;3;197
01115;3;70
0112;3;950
01121;3;249
01122;3;70
01123;3;28
01124;3;181
01125;3;311
01126;3;105
01127;3;5
0113;3;251
01130;3;82
01131;3;14
01132;3;52
01133;3;25
01134;3;78
0114;3;663
01145;3;298
01147;3;48
0114A;3;104
0114B;3;212
0115;3;81
01151;3;40
0115A;3;31
0115B;3;9
0116;3;308
01161;3;53
01162;3;31
01168;3;50
01169;3;7
0116A;3;166
0117;3;475
01175;3;6
01176;3;15
01177;3;56
01178;3;46
01179;3;96
0117A;3;255
0118;3;318
01181;3;12
0118A;3;306
0119;3;199
0119Z;3;199
012;3;416
0121;3;139
01213;3;10
0121A;3;129
0122;3;277
01221;3;67
01222;3;73
0122A;3;136
013;3;207
0131;3;207
0131Z;3;207
02;3;872
021;3;345
0211;3;83
02111;3;83
0212;3;185
0212A;3;185
0213;3;77
02131;3;77
022;3;523
022Z;3;523
022ZZ;3;523
024;3;4
0241;3;4
02411;3;4
03;3;1890
031;3;1314
0311;3;1
03111;3;1
0312;3;1260
0312Z;3;1260
0313;3;36
03131;3;36
0314;3;16
03141;3;16
032;3;447
032Z;3;447
032ZZ;3;447
033;3;130
0331;3;130
0331Z;3;130
04;3;4814
041;3;2343
0411;3;2312
04111;3;2312
0412;3;31
04121;3;31
043;3;196
0431;3;196
0431Z;3;196
