NOMENCLATURE;TYPMEN;CONSO
093AZ;2;135
094;2;774
0941;2;311
09411;2;311
0942;2;443
0942Z;2;443
0943;2;20
09431;2;20
095;2;243
0951;2;115
09511;2;115
0952;2;49
09521;2;49
0953;2;12
09531;2;12
0954;2;67
09541;2;67
096;2;193
0961;2;193
09611;2;193
097;2;164
0971;2;164
0971Z;2;164
10;2;277
101;2;277
1011;2;29
10111;2;29
1012;2;46
10121;2;46
1013;2;140
10131;2;140
1014;2;56
10141;2;56
1015;2;6
1015Z;2;6
11;2;1785
111;2;1528
1111;2;826
11111;2;387
11112;2;438
1112;2;540
11121;2;540
1113;2;162
1113Z;2;162
112;2;258
1121;2;258
11211;2;258
12;2;3477
121;2;680
1211;2;301
12111;2;301
1212;2;380
1212Z;2;380
123;2;140
1231;2;38
12311;2;38
1232;2;61
1232Z;2;61
1233;2;41
12331;2;41
124;2;211
1241;2;211
12411;2;211
125;2;1706
1251;2;26
12511;2;26
1252;2;307
12521;2;307
1253;2;720
12531;2;720
1254;2;505
12541;2;505
1255;2;149
12551;2;149
126;2;134
1261;2;134
12611;2;134
127;2;555
1271;2;555
1271Z;2;555
128;2;16
1281;2;16
12811;2;16
129;2;34
1291;2;34
12911;2;34
13;2;5280
131;2;1857
1314;2;1079
13141;2;1079
1315;2;8
13151;2;8
1316;2;54
13161;2;54
131A;2;716
131AZ;2;716
132;2;1459
132Z;2;1459
132ZZ;2;1459
133;2;446
1331;2;446
13311;2;446
134;2;706
134Z;2;706
134ZZ;2;706
135;2;813
1351;2;813
13511;2;813
CTOTALE;2;23908
01;3;5337
011;3;4761
0111;3;849
01111;3;27
01112;3;577
01113;3;58
01114;3;136
01115;3;51
0112;3;1252
01121;3;345
01122;3;106
01123;3;50
01124;3;188
01125;3;415
01126;3;128
01127;3;20
0113;3;432
01130;3;172
01131;3;27
01132;3;92
01133;3;31
01134;3;109
0114;3;669
01145;3;347
01147;3;54
0114A;3;68
0114B;3;200
0115;3;123
01151;3;58
0115A;3;47
0115B;3;19
0116;3;461
01161;3;91
01162;3;30
01168;3;62
01169;3;10
0116A;3;268
