NOMENCLATURE;STRATE;CONSO
0971;1;229
0971Z;1;229
10;1;130
101;1;130
1011;1;13
10111;1;13
1012;1;17
10121;1;17
1013;1;62
10131;1;62
1014;1;21
10141;1;21
1015;1;16
1015Z;1;16
11;1;1624
111;1;1353
1111;1;790
11111;1;446
11112;1;345
1112;1;334
11121;1;334
1113;1;229
1113Z;1;229
112;1;271
1121;1;271
11211;1;271
12;1;4425
121;1;695
1211;1;342
12111;1;342
1212;1;353
1212Z;1;353
123;1;148
1231;1;40
12311;1;40
1232;1;70
1232Z;1;70
1233;1;38
12331;1;38
124;1;294
1241;1;294
12411;1;294
125;1;2485
1251;1;50
12511;1;50
1252;1;384
12521;1;384
1253;1;1140
12531;1;1140
1254;1;749
12541;1;749
1255;1;162
12551;1;162
126;1;150
1261;1;150
12611;1;150
127;1;622
1271;1;622
1271Z;1;622
128;1;18
1281;1;18
12811;1;18
129;1;12
1291;1;12
12911;1;12
13;1;9509
131;1;2995
1314;1;1751
13141;1;1751
1315;1;20
13151;1;20
1316;1;77
13161;1;77
131A;1;1147
131AZ;1;1147
132;1;2617
132Z;1;2617
132ZZ;1;2617
133;1;886
1331;1;886
13311;1;886
134;1;1820
134Z;1;1820
134ZZ;1;1820
135;1;1192
1351;1;1192
13511;1;1192
CTOTALE;1;26582
01;2;4132
011;2;3658
0111;2;775
01111;2;31
01112;2;495
01113;2;55
01114;2;139
01115;2;54
0112;2;893
01121;2;230
01122;2;64
01123;2;36
01124;2;153
01125;2;292
01126;2;107
01127;2;12
0113;2;272
01130;2;104
01131;2;14
01132;2;55
01133;2;22
01134;2;78
0114;2;518
01145;2;251
01147;2;41
0114A;2;62
0114B;2;164
0115;2;84
01151;2;39
0115A;2;32
0115B;2;13
0116;2;321
01161;2;59
01162;2;27
01168;2;42
01169;2;7
0116A;2;185
0117;2;415
01175;2;6
01176;2;10
01177;2;51
01178;2;34
01179;2;76
0117A;2;237
0118;2;242
01181;2;14
0118A;2;227
0119;2;138
0119Z;2;138
012;2;321
0121;2;113
01213;2;5
0121A;2;108
0122;2;208
01221;2;65
01222;2;45
0122A;2;98
013;2;153
0131;2;153
0131Z;2;153
02;2;707
021;2;333
0211;2;88
02111;2;88
0212;2;188
0212A;2;188
0213;2;56
02131;2;56
022;2;372
022Z;2;372
022ZZ;2;372
024;2;2
0241;2;2
02411;2;2
03;2;1274
031;2;876
0311;2;3
03111;2;3
0312;2;827
0312Z;2;827
0313;2;39
03131;2;39
0314;2;7
03141;2;7
032;2;272
032Z;2;272
032ZZ;2;272
033;2;126
0331;2;126
0331Z;2;126
04;2;4288
041;2;1997
0411;2;1936
04111;2;1936
0412;2;61
04121;2;61
043;2;153
0431;2;153
0431Z;2;153
044;2;756
0443;2;279
04431;2;279
0444;2;477
04441;2;477
045;2;1311
0450;2;207
04500;2;207
0451;2;685
04511;2;685
0452;2;293
0452Z;2;293
0453;2;90
0453Z;2;90
045A;2;36
045AZ;2;36
046;2;70
0461;2;70
04611;2;70
05;2;1332
051;2;320
0511;2;308
0511Z;2;308
051A;2;12
051AZ;2;12
052;2;103
0521;2;103
0521Z;2;103
053;2;180
0531;2;157
0531Z;2;157
0532;2;23
05321;2;23
054;2;63
0541;2;63
0541Z;2;63
055;2;191
0551;2;45
0551Z;2;45
0552;2;146
0552Z;2;146
056;2;440
0561;2;220
0561Z;2;220
0562;2;220
0562Z;2;220
057;2;34
0571;2;34
0571Z;2;34
06;2;476
061;2;264
0611;2;264
0611Z;2;264
062;2;181
0621;2;85
06211;2;85
0622;2;57
06221;2;57
0623;2;38
0623Z;2;38
063;2;27
0631;2;27
06311;2;27
064;2;5
0641;2;5
0641Z;2;5
07;2;4295
071;2;1944
0711;2;1863
0711Z;2;1863
0712;2;49
07121;2;49
0713;2;32
07131;2;32
072;2;1664
0721;2;142
07211;2;142
0722;2;1107
07221;2;1107
0723;2;298
07231;2;298
0724;2;118
0724Z;2;118
073;2;399
0736;2;23
07361;2;23
073Z;2;376
073ZZ;2;376
074;2;288
0741;2;288
0741Z;2;288
08;2;710
081;2;710
0811;2;24
08111;2;24
0812;2;78
08121;2;78
0813;2;608
08131;2;608
09;2;2227
091;2;223
0911;2;83
0911Z;2;83
0913;2;74
09131;2;74
0914;2;46
09141;2;46
091A;2;20
091AZ;2;20
092;2;28
092Z;2;28
092ZZ;2;28
093;2;437
0931;2;139
0931Z;2;139
0932;2;150
09321;2;150
093A;2;148
093AZ;2;148
094;2;716
0941;2;249
09411;2;249
0942;2;432
0942Z;2;432
0943;2;35
09431;2;35
095;2;272
0951;2;95
09511;2;95
0952;2;107
09521;2;107
0953;2;11
09531;2;11
0954;2;59
09541;2;59
096;2;343
0961;2;343
09611;2;343
097;2;208
0971;2;208
0971Z;2;208
10;2;185
101;2;185
1011;2;23
10111;2;23
1012;2;20
10121;2;20
1013;2;75
10131;2;75
1014;2;21
10141;2;21
1015;2;46
1015Z;2;46
11;2;1674
111;2;1370
1111;2;837
11111;2;453
11112;2;384
1112;2;316
11121;2;316
1113;2;217
1113Z;2;217
112;2;304
1121;2;304
11211;2;304
12;2;4126
121;2;741
1211;2;326
12111;2;326
1212;2;415
1212Z;2;415
123;2;148
1231;2;51
12311;2;51
1232;2;60
1232Z;2;60
1233;2;37
12331;2;37
124;2;226
1241;2;226
12411;2;226
125;2;2270
1251;2;36
12511;2;36
1252;2;352
12521;2;352
1253;2;1074
12531;2;1074
1254;2;675
12541;2;675
1255;2;134
12551;2;134
126;2;144
1261;2;144
12611;2;144
127;2;534
1271;2;534
1271Z;2;534
128;2;31
1281;2;31
12811;2;31
129;2;32
1291;2;32
12911;2;32
13;2;7924
131;2;2912
1314;2;1655
13141;2;1655
1315;2;25
13151;2;25
1316;2;46
13161;2;46
131A;2;1186
131AZ;2;1186
132;2;1967
132Z;2;1967
132ZZ;2;1967
133;2;822
1331;2;822
13311;2;822
134;2;1189
134Z;2;1189
134ZZ;2;1189
135;2;1036
1351;2;1036
13511;2;1036
CTOTALE;2;25426
01;3;4223
011;3;3722
0111;3;735
01111;3;34
01112;3;449
01113;3;63
01114;3;135
01115;3;53
0112;3;876
01121;3;239
01122;3;62
01123;3;31
01124;3;149
01125;3;281
01126;3;105
01127;3;10
0113;3;290
01130;3;106
01131;3;20
01132;3;60
01133;3;24
01134;3;80
0114;3;545
01145;3;265
01147;3;45
0114A;3;67
0114B;3;169
0115;3;81
01151;3;35
0115A;3;34
0115B;3;12
0116;3;337
01161;3;63
01162;3;28
01168;3;48
01169;3;7
0116A;3;191
0117;3;455
01175;3;9
01176;3;12
01177;3;53
01178;3;42
01179;3;83
0117A;3;256
0118;3;248
01181;3;13
0118A;3;235
0119;3;155
0119Z;3;155
012;3;334
0121;3;115
01213;3;5
0121A;3;110
0122;3;219
01221;3;64
01222;3;52
0122A;3;103
013;3;168
0131;3;168
0131Z;3;168
02;3;791
021;3;353
0211;3;94
02111;3;94
0212;3;200
0212A;3;200
0213;3;58
02131;3;58
022;3;431
022Z;3;431
022ZZ;3;431
024;3;8
0241;3;8
02411;3;8
03;3;1400
031;3;973
0311;3;2
03111;3;2
0312;3;910
0312Z;3;910
0313;3;44
03131;3;44
0314;3;16
03141;3;16
032;3;289
032Z;3;289
032ZZ;3;289
033;3;139
0331;3;139
0331Z;3;139
04;3;4668
041;3;2392
0411;3;2357
04111;3;2357
0412;3;34
04121;3;34
043;3;141
0431;3;141
0431Z;3;141
044;3;935
0443;3;210
04431;3;210
0444;3;725
04441;3;725
045;3;1122
0450;3;191
04500;3;191
0451;3;604
04511;3;604
0452;3;265
0452Z;3;265
0453;3;42
0453Z;3;42
045A;3;21
045AZ;3;21
046;3;79
0461;3;79
04611;3;79
05;3;1482
051;3;479
0511;3;466
0511Z;3;466
051A;3;13
051AZ;3;13
052;3;76
0521;3;76
0521Z;3;76
053;3;175
0531;3;151
0531Z;3;151
0532;3;24
05321;3;24
054;3;76
0541;3;76
0541Z;3;76
055;3;156
0551;3;41
0551Z;3;41
0552;3;115
0552Z;3;115
056;3;478
0561;3;230
0561Z;3;230
0562;3;249
0562Z;3;249
057;3;42
0571;3;42
0571Z;3;42
06;3;488
061;3;263
0611;3;263
0611Z;3;263
062;3;196
0621;3;91
06211;3;91
0622;3;60
06221;3;60
0623;3;45
0623Z;3;45
063;3;25
0631;3;25
06311;3;25
064;3;4
0641;3;4
0641Z;3;4
07;3;4097
071;3;1721
0711;3;1602
0711Z;3;1602
0712;3;88
07121;3;88
0713;3;31
07131;3;31
072;3;1500
0721;3;123
07211;3;123
0722;3;941
07221;3;941
0723;3;282
07231;3;282
0724;3;154
0724Z;3;154
073;3;510
0736;3;21
07361;3;21
073Z;3;490
073ZZ;3;490
074;3;366
0741;3;366
0741Z;3;366
08;3;733
081;3;733
0811;3;19
08111;3;19
0812;3;87
08121;3;87
0813;3;627
08131;3;627
09;3;2514
091;3;270
0911;3;101
0911Z;3;101
0913;3;97
09131;3;97
0914;3;48
09141;3;48
091A;3;24
091AZ;3;24
092;3;91
092Z;3;91
092ZZ;3;91
093;3;394
0931;3;164
0931Z;3;164
0932;3;109
09321;3;109
093A;3;121
093AZ;3;121
094;3;870
0941;3;346
09411;3;346
0942;3;488
0942Z;3;488
0943;3;36
09431;3;36
095;3;300
0951;3;128
09511;3;128
0952;3;95
09521;3;95
0953;3;10
09531;3;10
