NOMENCLATURE2;STATUT;COEFF_BUDG
129;P2;0.1
CTOTALE;P2;100.0
01;P3;18.7
011;P3;16.7
012;P3;1.4
013;P3;0.7
02;P3;3.1
021;P3;1.8
022;P3;1.3
024;P3;0.0
03;P3;4.6
031;P3;3.1
032;P3;1.0
033;P3;0.4
04;P3;10.3
041;P3;0.3
043;P3;1.3
044;P3;2.3
045;P3;6.2
046;P3;0.2
05;P3;5.5
051;P3;1.5
052;P3;0.4
053;P3;0.9
054;P3;0.3
055;P3;0.8
056;P3;1.6
057;P3;0.2
06;P3;2.0
061;P3;1.1
062;P3;0.9
063;P3;0.1
064;P3;0.0
07;P3;18.1
071;P3;8.4
072;P3;7.3
073;P3;1.3
074;P3;1.1
08;P3;2.8
081;P3;2.8
09;P3;9.4
091;P3;0.9
092;P3;0.2
093;P3;2.0
094;P3;3.1
095;P3;1.2
096;P3;1.2
097;P3;0.8
10;P3;0.6
101;P3;0.6
11;P3;6.7
111;P3;5.7
112;P3;1.0
12;P3;18.1
121;P3;2.9
123;P3;0.5
124;P3;1.2
125;P3;10.6
126;P3;0.6
127;P3;2.2
128;P3;0.1
129;P3;0.1
CTOTALE;P3;100.0
01;P4;17.0
011;P4;15.0
012;P4;1.3
013;P4;0.7
02;P4;2.6
021;P4;1.6
022;P4;1.0
024;P4;0.0
03;P4;5.0
031;P4;3.4
032;P4;1.1
033;P4;0.5
04;P4;9.5
041;P4;0.3
043;P4;1.1
044;P4;2.4
045;P4;5.3
046;P4;0.3
05;P4;6.6
051;P4;1.9
052;P4;0.4
053;P4;0.7
054;P4;0.4
055;P4;1.2
056;P4;1.9
057;P4;0.2
06;P4;2.0
061;P4;0.9
062;P4;0.9
063;P4;0.1
064;P4;0.0
07;P4;18.8
071;P4;9.4
072;P4;6.8
073;P4;1.4
074;P4;1.2
08;P4;2.6
081;P4;2.6
09;P4;9.8
091;P4;0.8
092;P4;0.5
093;P4;1.9
094;P4;2.9
095;P4;1.2
096;P4;1.5
097;P4;0.9
10;P4;0.6
101;P4;0.6
11;P4;7.0
111;P4;5.7
112;P4;1.3
12;P4;18.4
121;P4;3.0
123;P4;0.7
124;P4;1.6
125;P4;9.4
126;P4;0.5
127;P4;2.8
128;P4;0.1
129;P4;0.2
CTOTALE;P4;100.0
01;P5;15.3
011;P5;13.4
012;P5;1.1
013;P5;0.7
02;P5;2.3
021;P5;1.5
022;P5;0.7
024;P5;0.0
03;P5;5.1
031;P5;3.4
032;P5;1.1
033;P5;0.6
04;P5;8.4
041;P5;0.3
043;P5;0.7
044;P5;2.5
045;P5;4.5
046;P5;0.5
05;P5;8.1
051;P5;2.1
052;P5;0.5
053;P5;0.7
054;P5;0.3
055;P5;1.0
056;P5;3.3
057;P5;0.2
06;P5;1.8
061;P5;1.0
062;P5;0.7
063;P5;0.1
064;P5;0.0
07;P5;18.2
071;P5;8.4
072;P5;5.7
073;P5;2.2
074;P5;1.9
