NOMENCLATURE;CSPR;CONSO
11211;2;562
12;2;5035
121;2;856
1211;2;426
12111;2;426
1212;2;430
1212Z;2;430
123;2;276
1231;2;91
12311;2;91
1232;2;96
1232Z;2;96
1233;2;89
12331;2;89
124;2;363
1241;2;363
12411;2;363
125;2;2622
1251;2;28
12511;2;28
1252;2;426
12521;2;426
1253;2;1074
12531;2;1074
1254;2;828
12541;2;828
1255;2;266
12551;2;266
126;2;182
1261;2;182
12611;2;182
127;2;727
1271;2;727
1271Z;2;727
128;2;9
1281;2;9
12811;2;9
129;2;1
1291;2;1
12911;2;1
13;2;15894
131;2;5633
1314;2;4014
13141;2;4014
1315;2;44
13151;2;44
1316;2;25
13161;2;25
131A;2;1550
131AZ;2;1550
132;2;4687
132Z;2;4687
132ZZ;2;4687
133;2;1229
1331;2;1229
13311;2;1229
134;2;2728
134Z;2;2728
134ZZ;2;2728
135;2;1616
1351;2;1616
13511;2;1616
CTOTALE;2;34986
01;3;5867
011;3;5129
0111;3;1037
01111;3;39
01112;3;624
01113;3;94
01114;3;193
01115;3;87
0112;3;1089
01121;3;322
01122;3;65
01123;3;30
01124;3;195
01125;3;352
01126;3;120
01127;3;5
0113;3;420
01130;3;155
01131;3;26
01132;3;85
01133;3;38
01134;3;116
0114;3;773
01145;3;389
01147;3;60
0114A;3;92
0114B;3;232
0115;3;101
01151;3;46
0115A;3;47
0115B;3;8
0116;3;478
01161;3;85
01162;3;34
01168;3;77
01169;3;9
0116A;3;273
0117;3;651
01175;3;10
01176;3;17
01177;3;67
01178;3;72
01179;3;99
0117A;3;384
0118;3;353
01181;3;14
0118A;3;339
0119;3;228
0119Z;3;228
012;3;442
0121;3;170
01213;3;7
0121A;3;163
0122;3;272
01221;3;81
01222;3;48
0122A;3;143
013;3;296
0131;3;296
0131Z;3;296
02;3;846
021;3;510
0211;3;72
02111;3;72
0212;3;359
0212A;3;359
0213;3;78
02131;3;78
022;3;332
022Z;3;332
022ZZ;3;332
024;3;4
0241;3;4
02411;3;4
03;3;2413
031;3;1662
0311;3;13
03111;3;13
0312;3;1522
0312Z;3;1522
0313;3;77
03131;3;77
0314;3;50
03141;3;50
032;3;497
032Z;3;497
032ZZ;3;497
033;3;255
0331;3;255
0331Z;3;255
04;3;5840
041;3;2810
0411;3;2671
04111;3;2671
0412;3;139
04121;3;139
043;3;242
0431;3;242
0431Z;3;242
044;3;1065
0443;3;289
04431;3;289
0444;3;777
04441;3;777
