NOMENCLATURE;STATUT;CONSO
0552Z;P2;132
056;P2;353
0561;P2;234
0561Z;P2;234
0562;P2;119
0562Z;P2;119
057;P2;27
0571;P2;27
0571Z;P2;27
06;P2;493
061;P2;247
0611;P2;247
0611Z;P2;247
062;P2;222
0621;P2;108
06211;P2;108
0622;P2;69
06221;P2;69
0623;P2;45
0623Z;P2;45
063;P2;20
0631;P2;20
06311;P2;20
064;P2;3
0641;P2;3
0641Z;P2;3
07;P2;3529
071;P2;1522
0711;P2;1465
0711Z;P2;1465
0712;P2;32
07121;P2;32
0713;P2;26
07131;P2;26
072;P2;1582
0721;P2;128
07211;P2;128
0722;P2;1107
07221;P2;1107
0723;P2;277
07231;P2;277
0724;P2;69
0724Z;P2;69
073;P2;220
0736;P2;7
07361;P2;7
073Z;P2;213
073ZZ;P2;213
074;P2;205
0741;P2;205
0741Z;P2;205
08;P2;678
081;P2;678
0811;P2;18
08111;P2;18
0812;P2;60
08121;P2;60
0813;P2;599
08131;P2;599
09;P2;1850
091;P2;172
0911;P2;58
0911Z;P2;58
0913;P2;67
09131;P2;67
0914;P2;38
09141;P2;38
091A;P2;9
091AZ;P2;9
092;P2;66
092Z;P2;66
092ZZ;P2;66
093;P2;362
0931;P2;97
0931Z;P2;97
0932;P2;119
09321;P2;119
093A;P2;146
093AZ;P2;146
094;P2;609
0941;P2;207
09411;P2;207
0942;P2;362
0942Z;P2;362
0943;P2;40
09431;P2;40
095;P2;318
0951;P2;92
09511;P2;92
0952;P2;134
09521;P2;134
0953;P2;12
09531;P2;12
0954;P2;79
09541;P2;79
096;P2;181
0961;P2;181
09611;P2;181
097;P2;143
0971;P2;143
0971Z;P2;143
10;P2;136
101;P2;136
1011;P2;10
10111;P2;10
1012;P2;25
10121;P2;25
1013;P2;74
10131;P2;74
1014;P2;17
10141;P2;17
1015;P2;10
1015Z;P2;10
11;P2;1241
111;P2;1056
1111;P2;608
11111;P2;317
11112;P2;291
1112;P2;309
11121;P2;309
1113;P2;139
1113Z;P2;139
112;P2;185
1121;P2;185
11211;P2;185
12;P2;4011
121;P2;617
1211;P2;271
12111;P2;271
1212;P2;345
1212Z;P2;345
123;P2;102
1231;P2;28
12311;P2;28
1232;P2;41
1232Z;P2;41
1233;P2;32
12331;P2;32
124;P2;140
1241;P2;140
12411;P2;140
125;P2;2474
1251;P2;46
12511;P2;46
1252;P2;395
12521;P2;395
1253;P2;1251
12531;P2;1251
1254;P2;656
12541;P2;656
1255;P2;126
12551;P2;126
126;P2;142
1261;P2;142
12611;P2;142
127;P2;496
1271;P2;496
1271Z;P2;496
128;P2;14
1281;P2;14
12811;P2;14
129;P2;26
1291;P2;26
12911;P2;26
13;P2;6539
131;P2;1586
1314;P2;339
13141;P2;339
1315;P2;22
13151;P2;22
1316;P2;66
13161;P2;66
131A;P2;1160
131AZ;P2;1160
132;P2;2383
132Z;P2;2383
132ZZ;P2;2383
133;P2;501
1331;P2;501
13311;P2;501
134;P2;1279
134Z;P2;1279
134ZZ;P2;1279
135;P2;790
1351;P2;790
13511;P2;790
CTOTALE;P2;21565
01;P3;4743
011;P3;4222
0111;P3;855
01111;P3;27
01112;P3;559
01113;P3;59
01114;P3;155
01115;P3;54
0112;P3;1086
01121;P3;277
01122;P3;94
01123;P3;24
01124;P3;181
01125;P3;369
01126;P3;127
01127;P3;15
0113;P3;317
01130;P3;118
01131;P3;21
01132;P3;69
01133;P3;23
01134;P3;87
0114;P3;632
01145;P3;313
01147;P3;47
0114A;P3;83
0114B;P3;190
0115;P3;107
01151;P3;50
0115A;P3;41
0115B;P3;16
0116;P3;321
01161;P3;63
01162;P3;27
01168;P3;45
01169;P3;11
0116A;P3;176
0117;P3;450
01175;P3;7
01176;P3;12
01177;P3;54
01178;P3;41
01179;P3;89
0117A;P3;247
0118;P3;296
01181;P3;16
0118A;P3;279
0119;P3;158
0119Z;P3;158
012;P3;349
0121;P3;131
01213;P3;7
0121A;P3;124
0122;P3;218
01221;P3;74
01222;P3;45
0122A;P3;99
013;P3;172
0131;P3;172
0131Z;P3;172
02;P3;778
021;P3;447
0211;P3;103
02111;P3;103
0212;P3;275
0212A;P3;275
0213;P3;69
02131;P3;69
022;P3;329
022Z;P3;329
022ZZ;P3;329
024;P3;2
0241;P3;2
02411;P3;2
03;P3;1154
031;P3;797
0311;P3;8
03111;P3;8
0312;P3;750
0312Z;P3;750
0313;P3;32
03131;P3;32
0314;P3;7
03141;P3;7
032;P3;256
032Z;P3;256
032ZZ;P3;256
033;P3;101
0331;P3;101
0331Z;P3;101
04;P3;2598
041;P3;78
0411;P3;11
04111;P3;11
0412;P3;68
04121;P3;68
043;P3;335
0431;P3;335
0431Z;P3;335
044;P3;585
0443;P3;316
04431;P3;316
0444;P3;269
04441;P3;269
045;P3;1558
0450;P3;146
04500;P3;146
0451;P3;841
04511;P3;841
0452;P3;285
0452Z;P3;285
0453;P3;193
0453Z;P3;193
045A;P3;92
045AZ;P3;92
046;P3;43
0461;P3;43
04611;P3;43
05;P3;1404
051;P3;372
0511;P3;364
0511Z;P3;364
051A;P3;8
051AZ;P3;8
052;P3;91
0521;P3;91
0521Z;P3;91
053;P3;219
0531;P3;195
0531Z;P3;195
0532;P3;24
05321;P3;24
054;P3;66
0541;P3;66
0541Z;P3;66
055;P3;197
0551;P3;86
0551Z;P3;86
0552;P3;111
0552Z;P3;111
056;P3;408
0561;P3;256
0561Z;P3;256
0562;P3;151
0562Z;P3;151
057;P3;51
0571;P3;51
0571Z;P3;51
06;P3;517
061;P3;267
0611;P3;267
0611Z;P3;267
062;P3;220
0621;P3;127
06211;P3;127
0622;P3;54
06221;P3;54
0623;P3;38
0623Z;P3;38
063;P3;27
0631;P3;27
06311;P3;27
064;P3;3
0641;P3;3
0641Z;P3;3
07;P3;4583
071;P3;2115
0711;P3;2000
0711Z;P3;2000
0712;P3;69
07121;P3;69
0713;P3;46
07131;P3;46
072;P3;1858
0721;P3;148
07211;P3;148
0722;P3;1274
07221;P3;1274
0723;P3;329
07231;P3;329
0724;P3;107
0724Z;P3;107
073;P3;327
0736;P3;16
07361;P3;16
073Z;P3;311
073ZZ;P3;311
074;P3;282
0741;P3;282
0741Z;P3;282
08;P3;715
081;P3;715
0811;P3;23
08111;P3;23
0812;P3;63
08121;P3;63
0813;P3;629
08131;P3;629
09;P3;2388
091;P3;225
0911;P3;93
0911Z;P3;93
0913;P3;69
09131;P3;69
0914;P3;40
09141;P3;40
091A;P3;23
091AZ;P3;23
092;P3;60
092Z;P3;60
092ZZ;P3;60
093;P3;512
0931;P3;168
0931Z;P3;168
0932;P3;177
09321;P3;177
093A;P3;167
093AZ;P3;167
094;P3;772
0941;P3;274
09411;P3;274
0942;P3;451
0942Z;P3;451
0943;P3;47
09431;P3;47
095;P3;315
0951;P3;82
09511;P3;82
0952;P3;145
09521;P3;145
0953;P3;17
09531;P3;17
0954;P3;70
09541;P3;70
096;P3;296
0961;P3;296
09611;P3;296
097;P3;208
0971;P3;208
0971Z;P3;208
10;P3;152
101;P3;152
1011;P3;18
10111;P3;18
1012;P3;27
10121;P3;27
1013;P3;70
10131;P3;70
1014;P3;22
10141;P3;22
1015;P3;15
1015Z;P3;15
11;P3;1694
111;P3;1444
1111;P3;879
11111;P3;488
11112;P3;391
1112;P3;379
11121;P3;379
1113;P3;186
1113Z;P3;186
112;P3;250
1121;P3;250
11211;P3;250
12;P3;4582
121;P3;746
1211;P3;352
12111;P3;352
1212;P3;394
1212Z;P3;394
123;P3;119
1231;P3;35
12311;P3;35
1232;P3;51
1232Z;P3;51
1233;P3;33
12331;P3;33
124;P3;292
1241;P3;292
12411;P3;292
125;P3;2680
1251;P3;42
12511;P3;42
1252;P3;404
12521;P3;404
1253;P3;1305
12531;P3;1305
1254;P3;781
12541;P3;781
1255;P3;148
12551;P3;148
126;P3;147
1261;P3;147
12611;P3;147
127;P3;550
1271;P3;550
1271Z;P3;550
128;P3;31
1281;P3;31
12811;P3;31
129;P3;17
1291;P3;17
12911;P3;17
13;P3;8752
131;P3;2241
1314;P3;746
13141;P3;746
1315;P3;5
13151;P3;5
1316;P3;14
13161;P3;14
131A;P3;1477
131AZ;P3;1477
132;P3;3186
132Z;P3;3186
132ZZ;P3;3186
133;P3;708
1331;P3;708
13311;P3;708
134;P3;1579
134Z;P3;1579
134ZZ;P3;1579
135;P3;1037
1351;P3;1037
13511;P3;1037
CTOTALE;P3;25308
01;P4;5265
011;P4;4643
0111;P4;923
01111;P4;31
01112;P4;594
01113;P4;69
01114;P4;166
01115;P4;62
0112;P4;1162
01121;P4;312
01122;P4;100
01123;P4;38
01124;P4;190
01125;P4;381
01126;P4;122
01127;P4;19
0113;P4;355
01130;P4;120
01131;P4;25
01132;P4;74
01133;P4;33
01134;P4;103
0114;P4;696
01145;P4;350
01147;P4;55
0114A;P4;80
0114B;P4;211
0115;P4;96
01151;P4;49
0115A;P4;33
0115B;P4;14
0116;P4;410
01161;P4;77
01162;P4;31
01168;P4;53
01169;P4;9
0116A;P4;240
0117;P4;503
01175;P4;7
01176;P4;13
01177;P4;61
01178;P4;48
01179;P4;93
0117A;P4;282
0118;P4;322
01181;P4;15
0118A;P4;308
0119;P4;174
0119Z;P4;174
012;P4;400
0121;P4;153
01213;P4;7
0121A;P4;146
0122;P4;248
01221;P4;87
01222;P4;44
0122A;P4;116
013;P4;221
0131;P4;221
0131Z;P4;221
02;P4;815
021;P4;491
0211;P4;117
02111;P4;117
0212;P4;308
0212A;P4;308
0213;P4;65
02131;P4;65
022;P4;322
022Z;P4;322
022ZZ;P4;322
024;P4;3
0241;P4;3
02411;P4;3
03;P4;1551
031;P4;1065
0311;P4;6
03111;P4;6
0312;P4;985
0312Z;P4;985
0313;P4;58
03131;P4;58
0314;P4;15
03141;P4;15
032;P4;327
032Z;P4;327
032ZZ;P4;327
033;P4;159
0331;P4;159
0331Z;P4;159
04;P4;2934
041;P4;99
0411;P4;16
04111;P4;16
0412;P4;83
04121;P4;83
043;P4;344
0431;P4;344
0431Z;P4;344
044;P4;738
0443;P4;325
04431;P4;325
0444;P4;413
04441;P4;413
045;P4;1647
0450;P4;184
04500;P4;184
0451;P4;903
04511;P4;903
0452;P4;305
0452Z;P4;305
0453;P4;173
0453Z;P4;173
045A;P4;81
045AZ;P4;81
046;P4;106
0461;P4;106
04611;P4;106
05;P4;2038
051;P4;573
0511;P4;545
0511Z;P4;545
051A;P4;28
051AZ;P4;28
052;P4;113
0521;P4;113
0521Z;P4;113
053;P4;227
0531;P4;194
0531Z;P4;194
0532;P4;33
05321;P4;33
054;P4;123
0541;P4;123
0541Z;P4;123
055;P4;359
0551;P4;132
0551Z;P4;132
0552;P4;227
0552Z;P4;227
056;P4;584
0561;P4;278
0561Z;P4;278
0562;P4;306
0562Z;P4;306
057;P4;58
0571;P4;58
0571Z;P4;58
06;P4;621
061;P4;289
0611;P4;289
0611Z;P4;289
062;P4;292
0621;P4;152
06211;P4;152
0622;P4;67
06221;P4;67
0623;P4;74
0623Z;P4;74
063;P4;33
0631;P4;33
06311;P4;33
064;P4;6
0641;P4;6
0641Z;P4;6
07;P4;5816
071;P4;2901
0711;P4;2775
0711Z;P4;2775
0712;P4;79
07121;P4;79
0713;P4;48
07131;P4;48
072;P4;2096
0721;P4;185
07211;P4;185
0722;P4;1407
07221;P4;1407
0723;P4;345
07231;P4;345
0724;P4;159
0724Z;P4;159
073;P4;433
0736;P4;10
07361;P4;10
073Z;P4;423
073ZZ;P4;423
074;P4;386
0741;P4;386
0741Z;P4;386
08;P4;793
081;P4;793
0811;P4;29
08111;P4;29
0812;P4;102
08121;P4;102
0813;P4;662
08131;P4;662
09;P4;3029
091;P4;253
0911;P4;91
0911Z;P4;91
0913;P4;94
09131;P4;94
0914;P4;50
09141;P4;50
091A;P4;18
091AZ;P4;18
092;P4;170
092Z;P4;170
092ZZ;P4;170
093;P4;600
0931;P4;199
0931Z;P4;199
0932;P4;196
09321;P4;196
093A;P4;206
093AZ;P4;206
094;P4;884
0941;P4;307
09411;P4;307
0942;P4;537
0942Z;P4;537
0943;P4;41
09431;P4;41
095;P4;386
0951;P4;124
09511;P4;124
0952;P4;147
09521;P4;147
0953;P4;16
09531;P4;16
0954;P4;99
09541;P4;99
096;P4;463
0961;P4;463
09611;P4;463
097;P4;273
0971;P4;273
0971Z;P4;273
10;P4;200
101;P4;200
1011;P4;24
10111;P4;24
1012;P4;24
10121;P4;24
1013;P4;123
10131;P4;123
1014;P4;21
10141;P4;21
1015;P4;8
1015Z;P4;8
11;P4;2164
111;P4;1769
1111;P4;1060
11111;P4;619
11112;P4;442
1112;P4;407
11121;P4;407
1113;P4;302
1113Z;P4;302
112;P4;395
1121;P4;395
11211;P4;395
12;P4;5694
121;P4;934
1211;P4;427
12111;P4;427
1212;P4;507
1212Z;P4;507
123;P4;214
1231;P4;70
12311;P4;70
1232;P4;99
1232Z;P4;99
1233;P4;45
12331;P4;45
124;P4;507
1241;P4;507
12411;P4;507
125;P4;2907
1251;P4;51
12511;P4;51
1252;P4;437
12521;P4;437
1253;P4;1373
12531;P4;1373
1254;P4;872
12541;P4;872
1255;P4;174
12551;P4;174
126;P4;168
1261;P4;168
12611;P4;168
127;P4;872
1271;P4;872
1271Z;P4;872
128;P4;41
1281;P4;41
12811;P4;41
129;P4;50
1291;P4;50
12911;P4;50
13;P4;13166
131;P4;3791
1314;P4;1993
13141;P4;1993
1315;P4;7
13151;P4;7
1316;P4;33
13161;P4;33
131A;P4;1757
131AZ;P4;1757
132;P4;4834
132Z;P4;4834
132ZZ;P4;4834
133;P4;909
1331;P4;909
13311;P4;909
134;P4;2478
134Z;P4;2478
134ZZ;P4;2478
135;P4;1155
1351;P4;1155
13511;P4;1155
CTOTALE;P4;30920
01;P5;6420
011;P5;5650
0111;P5;1000
01111;P5;36
01112;P5;651
01113;P5;77
01114;P5;165
01115;P5;70
0112;P5;1330
01121;P5;378
01122;P5;94
01123;P5;47
01124;P5;213
01125;P5;431
01126;P5;150
01127;P5;17
0113;P5;560
01130;P5;225
01131;P5;26
01132;P5;123
01133;P5;45
01134;P5;141
0114;P5;805
01145;P5;415
01147;P5;64
0114A;P5;81
0114B;P5;245
0115;P5;122
01151;P5;53
0115A;P5;55
0115B;P5;14
0116;P5;567
01161;P5;110
01162;P5;33
01168;P5;85
01169;P5;10
0116A;P5;329
0117;P5;692
01175;P5;12
01176;P5;18
01177;P5;73
01178;P5;64
01179;P5;103
0117A;P5;422
0118;P5;361
01181;P5;19
0118A;P5;342
0119;P5;213
0119Z;P5;213
012;P5;474
0121;P5;205
01213;P5;6
0121A;P5;199
0122;P5;269
01221;P5;91
01222;P5;47
0122A;P5;132
013;P5;296
0131;P5;296
0131Z;P5;296
02;P5;948
021;P5;624
0211;P5;122
02111;P5;122
0212;P5;432
0212A;P5;432
0213;P5;70
02131;P5;70
022;P5;315
022Z;P5;315
022ZZ;P5;315
024;P5;9
0241;P5;9
02411;P5;9
03;P5;2153
031;P5;1451
0311;P5;4
03111;P5;4
