NOMENCLATURE;ZEAT;CONSO
0552;2;171
0552Z;2;171
056;2;454
0561;2;224
0561Z;2;224
0562;2;229
0562Z;2;229
057;2;49
0571;2;49
0571Z;2;49
06;2;457
061;2;235
0611;2;235
0611Z;2;235
062;2;188
0621;2;98
06211;2;98
0622;2;50
06221;2;50
0623;2;40
0623Z;2;40
063;2;24
0631;2;24
06311;2;24
064;2;10
0641;2;10
0641Z;2;10
07;2;4350
071;2;2011
0711;2;1904
0711Z;2;1904
0712;2;65
07121;2;65
0713;2;42
07131;2;42
072;2;1680
0721;2;110
07211;2;110
0722;2;1167
07221;2;1167
0723;2;279
07231;2;279
0724;2;125
0724Z;2;125
073;2;374
0736;2;11
07361;2;11
073Z;2;363
073ZZ;2;363
074;2;285
0741;2;285
0741Z;2;285
08;2;733
081;2;733
0811;2;23
08111;2;23
0812;2;84
08121;2;84
0813;2;625
08131;2;625
09;2;2325
091;2;241
0911;2;93
0911Z;2;93
0913;2;74
09131;2;74
0914;2;49
09141;2;49
091A;2;24
091AZ;2;24
092;2;67
092Z;2;67
092ZZ;2;67
093;2;526
0931;2;169
0931Z;2;169
0932;2;162
09321;2;162
093A;2;196
093AZ;2;196
094;2;697
0941;2;210
09411;2;210
0942;2;434
0942Z;2;434
0943;2;52
09431;2;52
095;2;288
0951;2;100
09511;2;100
0952;2;122
09521;2;122
0953;2;11
09531;2;11
0954;2;55
09541;2;55
096;2;291
0961;2;291
09611;2;291
097;2;215
0971;2;215
0971Z;2;215
10;2;123
101;2;123
1011;2;12
10111;2;12
1012;2;15
10121;2;15
1013;2;55
10131;2;55
1014;2;14
10141;2;14
1015;2;28
1015Z;2;28
11;2;1669
111;2;1314
1111;2;800
11111;2;450
11112;2;351
1112;2;314
11121;2;314
1113;2;200
1113Z;2;200
112;2;354
1121;2;354
11211;2;354
12;2;4169
121;2;707
1211;2;312
12111;2;312
1212;2;396
1212Z;2;396
123;2;135
1231;2;42
12311;2;42
1232;2;55
1232Z;2;55
1233;2;38
12331;2;38
124;2;344
1241;2;344
12411;2;344
125;2;2353
1251;2;35
12511;2;35
1252;2;363
12521;2;363
1253;2;1147
12531;2;1147
1254;2;691
12541;2;691
1255;2;117
12551;2;117
126;2;143
1261;2;143
12611;2;143
127;2;437
1271;2;437
1271Z;2;437
128;2;27
1281;2;27
12811;2;27
129;2;22
1291;2;22
12911;2;22
13;2;8342
131;2;2928
1314;2;1815
13141;2;1815
1315;2;17
13151;2;17
1316;2;18
13161;2;18
131A;2;1078
131AZ;2;1078
132;2;2211
132Z;2;2211
132ZZ;2;2211
133;2;811
1331;2;811
13311;2;811
134;2;1444
134Z;2;1444
134ZZ;2;1444
135;2;949
1351;2;949
13511;2;949
CTOTALE;2;25831
01;3;4247
011;3;3680
0111;3;775
01111;3;32
01112;3;454
01113;3;73
01114;3;160
01115;3;56
0112;3;965
01121;3;293
01122;3;71
01123;3;16
01124;3;137
01125;3;321
01126;3;117
01127;3;10
0113;3;212
01130;3;82
01131;3;5
01132;3;35
01133;3;17
01134;3;74
0114;3;565
01145;3;287
01147;3;32
0114A;3;81
0114B;3;165
0115;3;89
01151;3;42
0115A;3;20
0115B;3;26
0116;3;253
01161;3;50
01162;3;23
01168;3;31
01169;3;3
0116A;3;145
0117;3;408
01175;3;8
01176;3;8
01177;3;50
01178;3;44
01179;3;105
0117A;3;193
0118;3;250
01181;3;13
0118A;3;237
0119;3;164
0119Z;3;164
012;3;401
0121;3;117
01213;3;6
0121A;3;111
0122;3;285
01221;3;96
01222;3;74
0122A;3;115
013;3;165
0131;3;165
0131Z;3;165
02;3;873
021;3;488
0211;3;168
02111;3;168
0212;3;202
0212A;3;202
0213;3;119
02131;3;119
022;3;384
022Z;3;384
022ZZ;3;384
024;3;1
0241;3;1
02411;3;1
03;3;1369
031;3;968
0311;3;1
03111;3;1
0312;3;920
0312Z;3;920
0313;3;38
03131;3;38
0314;3;10
03141;3;10
032;3;317
032Z;3;317
032ZZ;3;317
033;3;84
0331;3;84
0331Z;3;84
04;3;3860
041;3;1605
0411;3;1586
04111;3;1586
0412;3;19
04121;3;19
043;3;128
0431;3;128
0431Z;3;128
044;3;633
0443;3;288
04431;3;288
0444;3;345
04441;3;345
045;3;1434
0450;3;277
04500;3;277
0451;3;626
04511;3;626
0452;3;380
0452Z;3;380
0453;3;77
0453Z;3;77
045A;3;75
045AZ;3;75
046;3;59
0461;3;59
04611;3;59
05;3;1336
051;3;433
0511;3;421
0511Z;3;421
051A;3;12
051AZ;3;12
052;3;75
0521;3;75
0521Z;3;75
053;3;169
0531;3;142
0531Z;3;142
0532;3;27
05321;3;27
054;3;68
0541;3;68
0541Z;3;68
055;3;139
0551;3;27
0551Z;3;27
0552;3;112
0552Z;3;112
056;3;429
0561;3;240
0561Z;3;240
0562;3;190
0562Z;3;190
057;3;22
0571;3;22
0571Z;3;22
06;3;369
061;3;180
0611;3;180
0611Z;3;180
062;3;155
0621;3;85
06211;3;85
0622;3;37
06221;3;37
0623;3;32
0623Z;3;32
063;3;34
0631;3;34
06311;3;34
064;3;0
0641;3;0
0641Z;3;0
07;3;4389
071;3;2242
0711;3;2104
0711Z;3;2104
0712;3;112
07121;3;112
0713;3;26
07131;3;26
072;3;1480
0721;3;99
07211;3;99
0722;3;1042
07221;3;1042
0723;3;247
07231;3;247
0724;3;92
0724Z;3;92
073;3;400
0736;3;9
07361;3;9
073Z;3;391
073ZZ;3;391
074;3;267
0741;3;267
0741Z;3;267
08;3;717
081;3;717
0811;3;17
08111;3;17
0812;3;85
08121;3;85
0813;3;615
08131;3;615
09;3;2344
091;3;234
0911;3;69
0911Z;3;69
0913;3;98
09131;3;98
0914;3;48
09141;3;48
091A;3;18
091AZ;3;18
092;3;42
092Z;3;42
092ZZ;3;42
093;3;486
0931;3;176
0931Z;3;176
0932;3;149
09321;3;149
093A;3;161
093AZ;3;161
094;3;703
0941;3;213
09411;3;213
0942;3;455
0942Z;3;455
0943;3;35
09431;3;35
095;3;236
0951;3;72
09511;3;72
0952;3;84
09521;3;84
0953;3;11
09531;3;11
0954;3;70
09541;3;70
096;3;425
0961;3;425
09611;3;425
097;3;218
0971;3;218
0971Z;3;218
10;3;208
101;3;208
1011;3;33
10111;3;33
1012;3;32
10121;3;32
1013;3;125
10131;3;125
1014;3;16
10141;3;16
1015;3;1
1015Z;3;1
11;3;1831
111;3;1381
1111;3;897
11111;3;443
11112;3;454
1112;3;279
11121;3;279
1113;3;205
1113Z;3;205
112;3;450
1121;3;450
11211;3;450
12;3;4062
121;3;716
1211;3;327
12111;3;327
1212;3;389
1212Z;3;389
123;3;175
1231;3;56
12311;3;56
1232;3;69
1232Z;3;69
1233;3;51
12331;3;51
124;3;276
1241;3;276
12411;3;276
125;3;2227
1251;3;32
12511;3;32
1252;3;371
12521;3;371
1253;3;1053
12531;3;1053
1254;3;683
12541;3;683
1255;3;88
12551;3;88
126;3;137
1261;3;137
12611;3;137
127;3;512
1271;3;512
1271Z;3;512
128;3;20
1281;3;20
12811;3;20
129;3;0
1291;3;0
12911;3;0
13;3;8145
131;3;2673
1314;3;1685
13141;3;1685
1315;3;15
13151;3;15
1316;3;13
13161;3;13
131A;3;960
131AZ;3;960
132;3;2448
132Z;3;2448
132ZZ;3;2448
133;3;561
1331;3;561
13311;3;561
134;3;1285
134Z;3;1285
134ZZ;3;1285
135;3;1179
1351;3;1179
13511;3;1179
CTOTALE;3;25605
01;4;4387
011;4;3857
0111;4;823
01111;4;25
01112;4;507
01113;4;79
01114;4;157
01115;4;55
0112;4;942
01121;4;235
01122;4;70
01123;4;19
01124;4;138
01125;4;343
01126;4;126
01127;4;11
0113;4;257
01130;4;73
01131;4;18
01132;4;51
01133;4;22
01134;4;93
0114;4;603
01145;4;294
01147;4;44
0114A;4;79
0114B;4;186
0115;4;87
01151;4;37
0115A;4;34
0115B;4;16
0116;4;291
01161;4;54
01162;4;23
01168;4;40
01169;4;9
0116A;4;165
0117;4;418
01175;4;7
01176;4;14
01177;4;53
01178;4;44
01179;4;79
0117A;4;222
0118;4;287
01181;4;14
0118A;4;273
0119;4;148
0119Z;4;148
012;4;375
0121;4;144
01213;4;7
0121A;4;138
0122;4;231
01221;4;80
01222;4;58
0122A;4;93
013;4;154
0131;4;154
0131Z;4;154
02;4;808
021;4;432
0211;4;79
02111;4;79
0212;4;275
0212A;4;275
0213;4;78
02131;4;78
022;4;369
022Z;4;369
022ZZ;4;369
024;4;7
0241;4;7
02411;4;7
03;4;1459
031;4;1037
0311;4;3
03111;4;3
0312;4;985
0312Z;4;985
0313;4;38
03131;4;38
0314;4;11
03141;4;11
032;4;292
032Z;4;292
032ZZ;4;292
033;4;129
0331;4;129
0331Z;4;129
04;4;4307
041;4;1911
0411;4;1827
04111;4;1827
0412;4;85
04121;4;85
043;4;181
0431;4;181
0431Z;4;181
044;4;695
0443;4;234
04431;4;234
0444;4;461
04441;4;461
045;4;1484
0450;4;142
04500;4;142
0451;4;667
04511;4;667
0452;4;372
0452Z;4;372
0453;4;224
0453Z;4;224
045A;4;78
045AZ;4;78
046;4;35
0461;4;35
04611;4;35
05;4;1586
051;4;459
0511;4;452
0511Z;4;452
051A;4;7
051AZ;4;7
052;4;113
0521;4;113
0521Z;4;113
053;4;190
0531;4;161
0531Z;4;161
0532;4;29
05321;4;29
054;4;77
0541;4;77
0541Z;4;77
055;4;243
0551;4;140
0551Z;4;140
