date,inflation
2013-11,0.9204581036865437
2013-12,0.8562590541093165
2014-01,0.6042101353844713
2014-02,1.1214731846933437
2014-03,0.9433889692534353
2014-04,1.08782608444437
2014-05,0.9119194253610802
2014-06,0.7384171884322219
2014-07,0.5966489320585442
2014-08,0.7364410138992883
2014-09,0.427522956984392
2014-10,0.4004436660919519
2014-11,0.3994146020618864
2014-12,0.2624335180312959
2015-01,0.06157993691874998
2015-02,-0.06873200113017622
2015-03,0.06271120215775251
2015-04,0.11164953971484834
2015-05,0.32857720816637215
2015-06,0.30203990213177273
2015-07,0.39559618911961814
2015-08,0.303297610275315
2015-09,0.3310209278632271
2015-10,0.3821944237759436
2015-11,0.24264936323229622
2015-12,0.3353613239352357
2016-01,0.3242096599259138
2016-02,0.20999930563188243
2016-03,0.1869211417772807
2016-04,0.2532278517887293
2016-05,0.19628260107461404
2016-06,0.32759790749999673
2016-07,0.2884366734837979
2016-08,0.26400289173832925
2016-09,0.45795847178084226
2016-10,0.4225253207670746
2016-11,0.5875913932061392
2016-12,0.5285198702200029
2017-01,1.0188573573681126
2017-02,0.5496517430080435
2017-03,0.6508417420060932
2017-04,0.7050256805452426
2017-05,0.37110827172149846
2017-06,0.4039112397392809
2017-07,0.46347198279270574
2017-08,0.4890767054900868
2017-09,0.4899992527651881
2017-10,0.5047963709769767
2017-11,0.568840244723432
2017-12,0.5611062862057923
2018-01,0.8388068721094389
2018-02,0.7390669887700709
2018-03,1.022037359724034
2018-04,1.0613745993276638
2018-05,1.3650059275485358
2018-06,0.9974528153663059
2018-07,1.0953001224148717
2018-08,0.9613101894212663
2018-09,0.901261633300168
2018-10,0.9240701054886411
2018-11,0.7634362010252866
2018-12,0.6198024836096103
2019-01,0.46571760144146046
2019-02,0.6001012124566922
2019-03,0.43171201440087914
2019-04,0.47905616429859327
2019-05,0.23881636061538972
2019-06,0.8569230925650723
2019-07,0.8070102241344601
2019-08,0.8038999438400416
2019-09,0.9174278892226921
2019-10,0.9781905194034032
2019-11,1.168854622840017
2019-12,1.3463342248078867
2020-01,1.1519777952402104
2020-02,1.2296952774461853
2020-03,0.7183677723099613
2020-04,0.3432361560506787
2020-05,0.5535832950879112
2020-06,0.21992286606678535
2020-07,1.3533320903028765
2020-08,0.450343640137593
2020-09,0.13918684308080226
2020-10,0.12999147857004426
2020-11,0.14959596273234554
2020-12,0.1222259907089413
2021-01,0.7384761708669022
2021-02,0.5418734388362475
2021-03,0.780129338463514
2021-04,1.1030725745514949
2021-05,1.3786111454693672
2021-06,1.5121986305876547
2021-07,0.9884119395693753
2021-08,2.0007179859972797
2021-09,1.9071606885662673
2021-10,2.1097593267682972
2021-11,2.342344816910132
2021-12,2.3737272071801847
2022-01,1.9663937525007598
2022-02,2.7128551481772343
2022-03,3.016307088938909
2022-04,3.6416209986951844
2022-05,3.663106254563886
2022-06,3.944777439871898
2022-07,4.239067312674168
2022-08,4.306000324185506
2022-09,4.119191730279898
2022-10,4.5204016654890165
2022-11,4.6887969744269515
2022-12,4.493059665474933
2023-01,4.679368430513258
2023-02,5.270617213687895
2023-03,5.177169027462497
2023-04,5.110464013059396
2023-05,4.668174319545864
2023-06,4.357600296669402
